Topic Name (Required),Topic Description (Optional),Topic Type (Optional),Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
Greetings & Social Phrases,"Common phrases for daily social interaction. Essential for politeness and basic communication.",2,おはようございます,"",Good morning,"Formal","Ohayou gozaimasu",
Greetings & Social Phrases,"","","こんにちは","","Hello / Good afternoon","","Konnichiwa",
Greetings & Social Phrases,"","","こんばんは","","Good evening","","Konbanwa",
Greetings & Social Phrases,"","","さようなら","","Goodbye","Formal, used when not seeing someone for a while","Sayounara",
Greetings & Social Phrases,"","","またね","","See you later","Casual","Mata ne",
Greetings & Social Phrases,"","","おやすみなさい","","Good night","","Oyasuminasai",
Greetings & Social Phrases,"","","ありがとうございます","","Thank you","Formal","Arigatou gozaimasu",
Greetings & Social Phrases,"","","どういたしまして","","You're welcome","","Dou itashimashite",
Greetings & Social Phrases,"","","はじめまして","","Nice to meet you","Used for the first time meeting someone","Hajimemashite",
Greetings & Social Phrases,"","","どうぞよろしくおねがいします","","Pleased to make your acquaintance","Used after introductions","Douzo yoroshiku onegaishimasu",
Greetings & Social Phrases,"","","いってきます","","I'm leaving / I'll be back","Said when leaving home","Ittekimasu",
Greetings & Social Phrases,"","","いってらしゃい","","Have a good day / See you later","Said to someone leaving home","Itterasshai",
Greetings & Social Phrases,"","","ただいま","","I'm home","Said when returning home","Tadaima",
Greetings & Social Phrases,"","","おかえりなさい","","Welcome home","Said to someone returning home","Okaerinasai",
Greetings & Social Phrases,"","","いただきます","","Let's eat / I humbly receive","Said before eating","Itadakimasu",
Greetings & Social Phrases,"","","ごちそうさまでした","","Thank you for the meal","Said after eating","Gochisousama deshita",
People & Family,"Vocabulary for referring to people, family members, and professions.",0,私,"","I, me","","Watashi",
People & Family,"","","あなた","","You","Use with caution, often omitted","Anata",
People & Family,"","","人","","Person","","Hito",
People & Family,"","","男の人","","Man","","Otoko no hito",
People & Family,"","","女の人","","Woman","","Onna no hito",
People & Family,"","","学生","","Student","","Gakusei",
People & Family,"","","先生","","Teacher","","Sensei",
People & Family,"","","友達","","Friend","","Tomodachi",
People & Family,"","","家族","","Family","","Kazoku",
People & Family,"","","お父さん","","Father","(Someone else's)","Otousan",
People & Family,"","","父","","(My) Father","","Chichi",
People & Family,"","","お母さん","","Mother","(Someone else's)","Okaasan",
People & Family,"","","母","","(My) Mother","","Haha",
People & Family,"","","お兄さん","","Older brother","(Someone else's)","Oniisan",
People & Family,"","","兄","","(My) Older brother","","Ani",
Numbers & Time,"Words for counting, telling time, and discussing dates.",0,一,"","One","","Ichi",
Numbers & Time,"","","二","","Two","","Ni",
Numbers & Time,"","","三","","Three","","San",
Numbers & Time,"","","四","","Four","","Yon / Shi",
Numbers & Time,"","","五","","Five","","Go",
Numbers & Time,"","","六","","Six","","Roku",
Numbers & Time,"","","七","","Seven","","Nana / Shichi",
Numbers & Time,"","","八","","Eight","","Hachi",
