Topic Name (Required),Topic Description (Optional),Topic Type (Optional),Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
"Greetings & Polite Expressions","Common greetings and courtesy phrases for daily interactions.","2 – Phrases","こんにちは","","Hello","Any time of day greeting","konnichiwa",""
"Greetings & Polite Expressions","","","おはようございます","","Good morning","Formal (polite)","ohayou gozaimasu",""
"Greetings & Polite Expressions","","","こんばんは","","Good evening","","konbanwa",""
"Greetings & Polite Expressions","","","さようなら","","Goodbye","Farewell (not expecting to see soon)","sayounara",""
"Greetings & Polite Expressions","","","またね","Casual","See you later","","mata ne",""
"Greetings & Polite Expressions","","","ありがとう","Casual","Thank you","","arigatou",""
"Greetings & Polite Expressions","","","ありがとうございます","Formal","Thank you very much","","arigatou gozaimasu",""
"Greetings & Polite Expressions","","","どういたしまして","","You're welcome","Response to 'thank you'","dou itashimashite",""
"Greetings & Polite Expressions","","","すみません","","Excuse me; I'm sorry","Polite apology or to get attention","sumimasen",""
"Greetings & Polite Expressions","","","ごめんなさい","Casual","I'm sorry","Casual apology","gomen nasai",""
"Greetings & Polite Expressions","","","はじめまして","","Nice to meet you","First time meeting greeting","hajimemashite",""
"Greetings & Polite Expressions","","","よろしくお願いします","","Pleased to meet you; Please treat me kindly","After introducing oneself","yoroshiku onegaishimasu",""
"Greetings & Polite Expressions","","","お元気ですか","","How are you?","Polite inquiry about wellbeing","o-genki desu ka",""
"Greetings & Polite Expressions","","","元気です","","I'm fine","Response to being asked 'How are you'","genki desu",""
"Greetings & Polite Expressions","","","おめでとう","Casual","Congratulations","","omedetou",""
"Greetings & Polite Expressions","","","どうぞ","","Please; Here you go","Offering something or inviting entry","douzo",""
"Greetings & Polite Expressions","","","どうも","Casual","Thanks; Hi","Informal thanks or greeting","doumo",""
"Common Questions & Requests","Essential everyday questions, requests, and useful phrases.","2 – Phrases","お名前は何ですか。","","What is your name?","","o-namae wa nan desu ka",""
"Common Questions & Requests","","","私は〜です。","Replace 〜 with your name","I am ~.","","watashi wa ~ desu",""
"Common Questions & Requests","","","〜から来ました。","Replace 〜 with country/place","I came from ~.","","~ kara kimashita",""
"Common Questions & Requests","","","これは何ですか。","","What is this?","","kore wa nan desu ka",""
"Common Questions & Requests","","","トイレはどこですか。","","Where is the restroom?","","toire wa doko desu ka",""
"Common Questions & Requests","","","いくらですか。","","How much is it?","Asking for price","ikura desu ka",""
"Common Questions & Requests","","","これをください。","","This one, please.","Requesting an item (e.g. in shop)","kore o kudasai",""
"Common Questions & Requests","","","お願いします。","","Please (do this).","Making a request or asking a favor","onegaishimasu",""
"Common Questions & Requests","","","分かりません。","","I don't understand.","","wakarimasen",""
"Common Questions & Requests","","","もう一度お願いします。","","One more time, please.","Asking to repeat something","mou ichido onegaishimasu",""
"Common Questions & Requests","","","ゆっくり話してください。","","Please speak slowly.","","yukkuri hanashite kudasai",""
"Common Questions & Requests","","","英語が話せますか。","","Do you speak English?","","eigo ga hanasemasu ka",""
